Chapter_Name,Subject,TASK_1,TASK_2,TASK_3,TASK_4,TASK_5,TASK_6,TASK_7,TASK_8,TASK_9,TASK_10,TASK_11
SUBJECT VERB,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve a mixed bag question set from Prelim Papers,,,,,
PREPOSITION,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve a mixed bag question set from Prelim Papers,,,,,
SYNTHESIS,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve a mixed bag question set from Prelim Papers,,,,,
TRANSFORMATION OF SENTENCES,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve a mixed bag question set from Prelim Papers,,,,,
COMPREHENSION,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve a mixed bag question set from Prelim Papers,,,,,
DEGREES  OF COMPARISON,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve a mixed bag question set from Prelim Papers,,,,,
STORY WRITING,LANGUAGE,Write down Board Approved Format,Write down 2 Specimens and get it checked,Solve topics from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
ARGUMENTATIVE ESSAY,LANGUAGE,Write down Board Approved Format,Write down 2 Specimens and get it checked,Solve topics from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
DESCRIPTIVE ESSAY,LANGUAGE,Write down Board Approved Format,Write down 2 Specimens and get it checked,Solve topics from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
NARRATIVE ESSAY,LANGUAGE,Write down Board Approved Format,Write down 2 Specimens and get it checked,Solve topics from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
PICTURE COMPOSTION,LANGUAGE,Write down Board Approved Format,Write down 2 Specimens and get it checked,Solve topics from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
ARTICLES,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
TENSES,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
GRID WRITNG,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
"THE FIRST WAR IF INDEPENDENCE,1857",HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
GROWTH OF NATIONALISM,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
FIRST PHASE OF THE INDIAN NATIONAL MOVEMENT,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
SECOND PHASE OF THE INDIAN NATIONAL MOVEMENT,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
THE MUSLIM LEAGUE,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
MAHATMA GANDHI,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
QUIT INDIA MOVEMENT,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
FORWARD BLOC AND THE INA,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
INDEPENDENCE AND PARTITION OF INDIA,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
THE FIRST WORLD WAR,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
RISE OF DICTATORSHIP,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
THE SECOND WORLD WAR,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
UNITED NATIONS,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
MAJOR AGENCIES OF THE UNITED NATIONS,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
NON-ALIGNED MOVEMENT,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
THE UNION PARLIAMENT,CIVICS,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
THE PRESIDENT AND VICE PRESIDENT,CIVICS,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
PRIME MINISTER AND COUNCIL OF MINISTERS,CIVICS,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
THE SUPREME COURT,CIVICS,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
THE HIGH COURTS AND SUBORDINATE COURTS,CIVICS,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
INTERPRETATION OF TOPOGRAPHICAL MAPS,GEOGRAPHY,ONLY PRACTISE,ONLY PRACTISE,ONLY PRACTISE,ONLY PRACTISE,ONLY PRACTISE,ONLY PRACTISE,ONLY PRACTISE,,,,
MAP OF INDIA,GEOGRAPHY,ONLY PRACTISE,ONLY PRACTISE,ONLY PRACTISE,ONLY PRACTISE,ONLY PRACTISE,ONLY PRACTISE,ONLY PRACTISE,,,,
CLIMATE,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
SOIL RESOURCES,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
NATURAL VEGETATION,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
WATER RESOURCES,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
MINERAL RESOURCES,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
CONVENTIONAL SOURCES OF ENERGY,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
NON-CONVENTIONAL SOURCES OF ENERGY,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
AGRICULTURE-I,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
AGRICULTURE-II : FOOD CROPS,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
AGRICULTURE-III : CASH CROPS (1),GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
AGRICULTURE-IV : CASH CROPS (2),GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
MANUFACTURING INDUSTRIES AGRO- BASED,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
MINERAL BASED INDUSTRY,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
TRANSPORT,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
IMPACT OF WASTE ACCUMULATION,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
NEED FOR WASTE MANAGEMENT,GEOGRAPHY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 GIVE REAOSNS + MCQ,DREAM 90 ALL REMAINING QUESTIONS,DREAK 90 LW,DREAM 90 TEST PAPER,PY QUESTIONS,,,,
STAKEHOLDERS IN COMMERCIAL ORGANISATIONS,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
MARKETING AND SALES,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
ADVERTISING AND SALES PROMOTION,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
CONSUMER PROTECTION,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
E-COMMERCE,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
CAPITAL AND REVENUE EXPENDITURE&INCOME,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
FINAL ACCOUNTS OF SOLE PROPRIETORSHIP,CS,Solve Classwork questions,Solve Homework questions,Solve Extra questions,Revisit all the questions covered earlier,,,,,,,
FUNDAMENTAL CONCEPTS OF COST,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
BUDGETING,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
SOURCES OF FINANCE,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
RECRUITMENT SELECTION AND TRAINING,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
"INDUSTRIAL RELATIONS, TRADE UNIONS AND SOCIAL SECURITY",CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
LOGISTICS AND INSURANCE,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
BANKING,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
STRIVING FOR BETTER ENVIRONMENT,CS,Read textbook markings,Revision for weekly test,Revision for Class Prelim,Revision for School test,,,,,,,
FACTORS OF PRODUCTION,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
ELEMENTARY THEORY OF DEMAND,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
ELASTICITY OF DEMAND,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
THEORY OF SUPPLY,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
MEANING AND TYPES OF MARKET,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
MEANING AND FUNCTION OF MONEY,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
COMMERCIAL BANK,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
CENTRAL BANK,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
INTRODUCTION TO PUBLIC FINANCE,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
PUBLIC REVENUE,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
PUBLIC EXPENDITURE,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
PUBLIC DEBT,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
INFLATION,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
CONSUMER AWARENESS,ECONOMIC,TEXTBOOK READING,Refer to the Notes Given during the lectures,Solve MCQ & Questions Given In Text Book,Study all the questions for the chapter,SOLVE WORKSHEET GIVEN IN CLASS,Revise the chapter and provide orals to Parents,,,,,
